tempo, rssi, distancia, nivel_invasao, amostragem
16:07:56.361, -41, 0.5, 0, 0.050
16:07:56.457, -41, 0.5, 0, 0.050
16:07:56.554, -40, 0.5, 0, 0.050
16:07:56.650, -41, 0.5, 0, 0.050
16:07:56.812, -46, 0.5, 0, 0.050
16:07:56.907, -42, 0.5, 0, 0.050
16:07:57.004, -41, 0.5, 0, 0.050
16:07:57.101, -41, 0.5, 0, 0.050
16:07:57.230, -41, 0.5, 0, 0.050
16:07:57.327, -41, 0.5, 0, 0.050
16:07:57.424, -41, 0.5, 0, 0.050
16:07:57.520, -37, 0.5, 0, 0.050
16:07:57.617, -81, 0.5, 0, 0.050
16:07:57.779, -44, 0.5, 0, 0.050
16:07:57.876, -40, 0.5, 0, 0.050
16:07:57.972, -40, 0.5, 0, 0.050
16:07:58.069, -41, 0.5, 0, 0.050
16:07:58.165, -41, 0.5, 0, 0.050
16:07:58.261, -42, 0.5, 0, 0.050
16:07:58.358, -41, 0.5, 0, 0.050
16:07:58.455, -40, 0.5, 0, 0.050
16:07:58.616, -45, 0.5, 0, 0.050
16:07:58.712, -41, 0.5, 0, 0.050
16:07:58.809, -41, 0.5, 0, 0.050
16:07:58.938, -41, 0.5, 0, 0.050
16:07:59.035, -41, 0.5, 0, 0.050
16:07:59.131, -41, 0.5, 0, 0.050
16:07:59.227, -40, 0.5, 0, 0.050
16:07:59.324, -38, 0.5, 0, 0.050
16:07:59.420, -40, 0.5, 0, 0.050
16:07:59.582, -44, 0.5, 0, 0.050
16:07:59.679, -41, 0.5, 0, 0.050
16:07:59.776, -40, 0.5, 0, 0.050
16:07:59.872, -40, 0.5, 0, 0.050
16:07:59.968, -40, 0.5, 0, 0.050
16:08:00.065, -40, 0.5, 0, 0.050
16:08:00.162, -40, 0.5, 0, 0.050
16:08:00.291, -40, 0.5, 0, 0.050
16:08:00.419, -46, 0.5, 0, 0.050
16:08:00.515, -42, 0.5, 0, 0.050
16:08:00.643, -41, 0.5, 0, 0.050
16:08:00.739, -42, 0.5, 0, 0.050
16:08:00.836, -43, 0.5, 0, 0.050
16:08:00.933, -43, 0.5, 0, 0.050
16:08:01.028, -42, 0.5, 0, 0.050
16:08:01.125, -42, 0.5, 0, 0.050
16:08:01.286, -47, 0.5, 0, 0.050
